Tanggal Penjualan,ID Produk,Nama Produk,Kategori,Jumlah Terjual,Harga Satuan,Total Penjualan,HPP Satuan,Total HPP,Profit,Margin (%),Period Status
2023-01-01,114,Kantong HP Anti Air,Aksesori Umum,1,20000,20000,14000,14000,6000,30.0,Normal
2023-01-01,46,Earphone In-Ear,Elektronik,1,25000,25000,18000,18000,7000,28.0,Normal
2023-01-01,32,Celana Pendek Casual,Clothing & Fashion,1,45000,45000,31000,31000,14000,31.11,Normal
2023-01-02,34,Rok Wanita Denim,Clothing & Fashion,1,75000,75000,52000,52000,23000,30.67,Normal
2023-01-02,118,Colokan Timer,Aksesori Umum,1,40000,40000,29000,29000,11000,27.5,Normal
2023-01-02,21,Set Sendok Garpu Emas,Perlengkapan Rumah,4,15000,60000,10000,40000,20000,33.33,Normal
2023-01-03,114,Kantong HP Anti Air,Aksesori Umum,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-03,59,Panci Stainless 24cm,Alat Rumah Tangga,1,85000,85000,60000,60000,25000,29.41,Normal
2023-01-03,102,Suspending Organizer,Hanger & Penyimpanan,4,20000,80000,14000,56000,24000,30.0,Normal
2023-01-03,75,Hanger Plastik 10pcs,Hanger & Penyimpanan,4,20000,80000,13000,52000,28000,35.0,Normal
2023-01-03,43,Mouse Wireless,Elektronik,2,30000,60000,21000,42000,18000,30.0,Normal
2023-01-03,29,Sabun Cuci Piring Cair,Sembako,6,12000,72000,8000,48000,24000,33.33,Normal
2023-01-03,94,Minyak Kayu Putih,Obat Tradisional,7,10000,70000,7000,49000,21000,30.0,Normal
2023-01-04,6,Rice Cooker Mini,Alat Rumah Tangga,1,90000,90000,64000,64000,26000,28.89,Normal
2023-01-04,17,Kipas Angin Standing,Elektronik,1,120000,120000,87000,87000,33000,27.5,Normal
2023-01-04,53,Sarung Bantal 2 pcs,Home & Living,3,25000,75000,18000,54000,21000,28.0,Normal
2023-01-04,54,Gantungan Kunci Logam,Aksesori Umum,23,3000,69000,2000,46000,23000,33.33,Normal
2023-01-04,94,Minyak Kayu Putih,Obat Tradisional,9,10000,90000,7000,63000,27000,30.0,Normal
2023-01-04,12,Gantungan Baju Plastik,Perlengkapan Rumah,26,2500,65000,1000,26000,39000,60.0,Normal
2023-01-04,47,Smartwatch Basic,Elektronik,1,120000,120000,79000,79000,41000,34.17,Normal
2023-01-04,66,Buku Tulis 100 Lembar,Edukasi & Hobi,6,10000,60000,7000,42000,18000,30.0,Normal
2023-01-04,55,Payung Golf Besar,Aksesori Umum,2,30000,60000,21000,42000,18000,30.0,Normal
2023-01-05,29,Sabun Cuci Piring Cair,Sembako,6,12000,72000,8000,48000,24000,33.33,Normal
2023-01-05,110,Dompet Mini Wanita,Aksesori Umum,3,25000,75000,18000,54000,21000,28.0,Normal
2023-01-05,34,Rok Wanita Denim,Clothing & Fashion,1,75000,75000,51000,51000,24000,32.0,Normal
2023-01-05,66,Buku Tulis 100 Lembar,Edukasi & Hobi,7,10000,70000,7000,49000,21000,30.0,Normal
2023-01-05,73,Remote Universal,Elektronik,5,15000,75000,10000,50000,25000,33.33,Normal
2023-01-05,87,Pensil Alis,Kecantikan & Perawatan,8,10000,80000,7000,56000,24000,30.0,Normal
2023-01-06,42,Kabel Data USB Type-C,Elektronik,6,12000,72000,7000,42000,30000,41.67,Normal
2023-01-06,85,Lotion Tubuh,Kecantikan & Perawatan,2,30000,60000,19000,38000,22000,36.67,Normal
2023-01-06,90,Masker Medis 50pcs,Kesehatan,3,25000,75000,17000,51000,24000,32.0,Normal
2023-01-07,72,Kabel HDMI 1.5m,Elektronik,1,25000,25000,17000,17000,8000,32.0,Normal
2023-01-07,76,Kotak Penyimpanan Plastik,Hanger & Penyimpanan,1,30000,30000,20000,20000,10000,33.33,Normal
2023-01-07,35,Topi Baseball,Clothing & Fashion,1,15000,15000,10000,10000,5000,33.33,Normal
2023-01-07,27,Penampung Sampah Rumah,Perlengkapan Rumah,1,22000,22000,15000,15000,7000,31.82,Normal
2023-01-07,89,Hand Sanitizer 60ml,Kesehatan,2,10000,20000,7000,14000,6000,30.0,Normal
2023-01-08,117,Power Extension 6 Outlet,Aksesori Umum,1,65000,65000,47000,47000,18000,27.69,Normal
2023-01-08,32,Celana Pendek Casual,Clothing & Fashion,1,45000,45000,33000,33000,12000,26.67,Normal
2023-01-08,79,Pewangi Ruangan,Kecantikan & Perawatan,2,15000,30000,10000,20000,10000,33.33,Normal
2023-01-08,69,Mini Fan USB,Elektronik,1,25000,25000,16000,16000,9000,36.0,Normal
2023-01-08,90,Masker Medis 50pcs,Kesehatan,1,25000,25000,17000,17000,8000,32.0,Normal
2023-01-08,71,Kipas Angin Kecil,Elektronik,1,20000,20000,13000,13000,7000,35.0,Normal
2023-01-09,86,Parfum Roll On,Kecantikan & Perawatan,5,15000,75000,10000,50000,25000,33.33,Normal
2023-01-09,11,Wajan Penggorengan,Alat Rumah Tangga,1,40000,40000,26000,26000,14000,35.0,Normal
2023-01-09,19,Magic Com Mini,Alat Rumah Tangga,1,130000,130000,87000,87000,43000,33.08,Normal
2023-01-10,60,Tempat Bumbu Dapur,Alat Rumah Tangga,4,18000,72000,12000,48000,24000,33.33,Normal
2023-01-10,70,Lampu Emergency,Elektronik,1,35000,35000,25000,25000,10000,28.57,Normal
2023-01-10,95,Bandana Couple,Clothing & Fashion,4,15000,60000,10000,40000,20000,33.33,Normal
2023-01-10,23,Tas Belanja Lipat,Aksesori Umum,7,10000,70000,6000,42000,28000,40.0,Normal
